code,name,industry,tracking_index,asset_size_cny,date,close,return_1d,mom20,mom60,ma5,ma10,ma20,trend20,vol20,amount60,rank_mom20,rank_mom60,rank_trend20,rank_vol20,rank_amount60,score,trend_ok
158003,嘉实中证港股通医疗主题ETF,医药生物,中证港股通医疗主题指数,260000000.0,2026-09-22,1.035,-0.0057636887608069065,-0.004807692307692402,,1.0114,0.9934999999999998,0.9999,0.035103510351035094,0.2700478158799506,25042225.68,0.4279475982532751,,0.834061135371179,0.6331877729257642,0.42358078602620086,,False
158006,博时中证细分化工产业主题ETF,基础化工,细分化工,213000000.0,2026-09-22,0.983,-0.006066734074823055,-0.028656126482213495,,0.9806000000000001,0.9904,1.0115500000000002,-0.02822401265384822,0.25481576162475117,6878927.181818182,0.22270742358078602,,0.1572052401746725,0.5589519650655022,0.056768558951965066,,False
158017,易方达中证细分化工产业主题ETF,基础化工,细分化工,341000000.0,2026-09-22,0.967,-0.006166495375128478,,,0.9644,0.9731,,,,,,,,,,,False
158019,电池ETF永赢,电力设备,中证电池主题指数,294000000.0,2026-09-22,0.917,0.0,,,0.9132,0.9128000000000001,,,,,,,,,,,False
158027,易方达中证工业互联网主题ETF,机械设备,中证工业互联网主题指数,237000000.0,2026-09-22,0.986,0.010245901639344357,,,0.9681999999999998,0.9571,,,,,,,,,,,False
158032,景顺长城中证细分化工产业主题ETF,基础化工,细分化工,271000000.0,2026-09-22,0.96,-0.006211180124223614,,,0.9578,,,,,,,,,,,,False
158038,富国国证粮食产业ETF,农林牧渔,国证粮食产业指数,206000000.0,2026-09-22,1.005,-0.007897334649555776,,,0.9934,,,,,,,,,,,,False
159007,华泰柏瑞中证畜牧养殖产业ETF,农林牧渔,中证畜牧养殖产业指数,156000000.0,2026-09-22,0.889,-0.00891861761426982,0.01252847380410027,0.12531645569620253,0.8859999999999999,0.8966,0.9016500000000001,-0.01402983419286874,0.22544511273270595,17007952.633333333,0.6157205240174672,0.861244019138756,0.34934497816593885,0.4017467248908297,0.31004366812227074,0.5466319132487829,False
159011,华安中证畜牧养殖产业ETF,农林牧渔,中证畜牧养殖产业指数,233000000.0,2026-09-22,1.064,-0.012987012987012991,0.009487666034155628,0.10948905109489071,1.0606,1.0735999999999999,1.07995,-0.014769202277883142,0.23512610347167204,8202904.783333333,0.5764192139737991,0.8038277511961722,0.33624454148471616,0.47161572052401746,0.1222707423580786,0.5031737740540314,False
159023,万家中证畜牧养殖产业ETF,农林牧渔,中证畜牧养殖产业指数,239000000.0,2026-09-22,1.069,-0.008348794063079867,0.007540056550424223,0.11007268951194193,1.065,1.0793,1.08615,-0.015789715969249163,0.23259945312573302,8909177.433333334,0.5414847161572053,0.8086124401913876,0.3056768558951965,0.45414847161572053,0.14847161572052403,0.4882545287394747,False
159027,大成中证畜牧养殖产业ETF,农林牧渔,中证畜牧养殖产业指数,227000000.0,2026-09-22,0.913,-0.007608695652173925,0.009955752212389424,0.11750305997552024,0.9088,0.9208000000000001,0.92645,-0.014517782934858836,0.2265817140864161,6770111.133333334,0.5807860262008734,0.8373205741626795,0.3406113537117904,0.4104803493449782,0.05240174672489083,0.5234115459351038,False
159029,广发中证有色金属矿业主题ETF,有色金属,中证有色金属矿业主题指数,312000000.0,2026-09-22,0.88,0.003420752565564511,-0.04761904761904767,-0.024390243902439046,0.8778,0.8893000000000001,0.9125,-0.03561643835616435,0.26987305203734785,19792280.066666666,0.17467248908296942,0.6076555023923444,0.11790393013100436,0.62882096069869,0.35807860262008734,0.23451348697269175,False
159030,华夏国证粮食产业ETF,农林牧渔,国证粮食产业指数,241000000.0,2026-09-22,0.901,-0.00770925110132159,0.03801843317972353,0.17165149544863456,0.8896000000000001,0.9071999999999999,0.9146500000000002,-0.014923741321817285,0.5072500303586809,35725884.86666667,0.8296943231441049,0.9043062200956937,0.3318777292576419,0.9868995633187773,0.5240174672489083,0.5745857796535802,False
159031,博时国证粮食产业ETF,农林牧渔,国证粮食产业指数,275000000.0,2026-09-22,0.996,-0.008955223880596885,0.03750000000000009,0.16219369894982494,0.985,1.0049,1.0126,-0.016393442622950727,0.5010161452549416,8244818.283333333,0.8165938864628821,0.8803827751196173,0.2794759825327511,0.982532751091703,0.12663755458515283,0.5515837529512546,False
159033,国泰国证粮食产业ETF,农林牧渔,国证粮食产业指数,252000000.0,2026-09-22,1.02,-0.0077821011673151474,0.03658536585365857,0.16838487972508598,1.008,1.0291000000000001,1.0367000000000002,-0.01610880679077853,0.49486607919752995,30778518.466666665,0.7947598253275109,0.8899521531100478,0.29694323144104806,0.9694323144104804,0.4759825327510917,0.552094607300307,False
159038,易方达国证粮食产业ETF,农林牧渔,国证粮食产业指数,232000000.0,2026-09-22,0.966,-0.007194244604316502,0.038709677419354716,0.1709090909090909,0.9538,0.9729000000000001,0.98065,-0.014939071024320683,0.49418725250940926,21258576.45,0.834061135371179,0.8995215311004785,0.32751091703056767,0.9606986899563319,0.38427947598253276,0.5761862476755605,False
159039,华安国证机器人产业ETF,机械设备,国证机器人产业指数,330000000.0,2026-09-22,0.822,0.0012180267965895553,-0.012019230769230727,-0.18452380952380953,0.8122,0.8065000000000001,0.8174999999999999,0.005504587155963359,0.20784698668193335,56612038.8,0.3624454148471616,0.35406698564593303,0.5851528384279476,0.3318777292576419,0.6244541484716157,0.3346221349324084,False
159041,鹏华中证农业主题ETF,农林牧渔,中证农业主题指数,222000000.00000003,2026-09-22,1.021,-0.006809338521400865,0.008893280632410905,0.11584699453551894,1.0157999999999998,1.0308,1.04145,-0.01963608430553565,0.2494655345329877,5863662.583333333,0.5720524017467249,0.8325358851674641,0.2096069868995633,0.5283842794759825,0.039301310043668124,0.4806888698522805,False
159048,大成国证机器人产业ETF,机械设备,国证机器人产业指数,334000000.0,2026-09-22,0.848,0.0011806375442739991,-0.007025761124121788,-0.17988394584139267,0.8371999999999999,0.8311999999999999,0.8427499999999999,0.006229605458321075,0.18106867132118915,19004846.866666667,0.4104803493449782,0.37799043062200954,0.6069868995633187,0.1572052401746725,0.34934497816593885,0.38164162888364217,False
159049,有色ETF工银,有色金属,中证有色金属矿业主题指数,245000000.00000003,2026-09-22,0.97,0.0031023784901758056,-0.058252427184466105,,0.9698,0.9823999999999999,1.00845,-0.03812781992166203,0.2479820005691769,11885658.018181818,0.13537117903930132,,0.09170305676855896,0.519650655021834,0.2183406113537118,,False
159050,广发国证机器人产业ETF,机械设备,国证机器人产业指数,348000000.0,2026-09-22,0.839,0.0011933174224343368,-0.005924170616113722,-0.18146341463414628,0.8295999999999999,0.8230999999999999,0.8340500000000001,0.005934895989448963,0.19786805227738008,48840913.11666667,0.42358078602620086,0.36363636363636365,0.5982532751091703,0.2794759825327511,0.5938864628820961,0.36722905915045656,False
