date,stock_code,industry,change_pct,amount_cny,sealed_amount_cny,last_sealed_time,source,retrieved_at
2026-09-11,601949,传媒,-9.928057670593262,819941888.0,38302705.0,140043,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:22.886000+00:00
2026-09-11,603366,家用电器,-10.024154663085938,485572656.0,46273611.0,102314,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:22.886000+00:00
2026-09-11,002855,电子,-10.006670951843262,267306087.0,49283017.0,104827,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:22.886000+00:00
2026-09-11,600865,商贸零售,-9.96587085723877,913657584.0,57984559.0,133124,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:22.886000+00:00
2026-09-11,002661,食品饮料,-10.0,102941440.0,68483543.0,093139,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:22.886000+00:00
2026-09-11,600540,农林牧渔,-10.060976028442383,749963472.0,83331010.0,131454,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:22.886000+00:00
2026-09-11,000523,综合,-10.089685440063477,1482227184.0,90965165.0,131454,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:22.886000+00:00
2026-09-11,002909,基础化工,-9.975961685180664,273509728.0,113293253.0,094427,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:22.886000+00:00
2026-09-11,600108,农林牧渔,-9.90476131439209,2086626208.0,115720741.0,132158,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:22.886000+00:00
2026-09-11,002295,有色金属,-9.983766555786133,38276026.0,152531227.0,092500,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:22.886000+00:00
2026-09-14,003004,计算机,-10.0,283400800.0,117450.0,150000,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,002909,基础化工,-10.013350486755371,665584832.0,894398.0,150000,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,603321,机械设备,-9.93197250366211,108290688.0,5090118.0,150000,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,000930,农林牧渔,-10.034013748168945,810369968.0,29914304.0,140630,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,002790,轻工制造,-9.989258766174316,694541216.0,32954383.0,143103,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,002059,社会服务,-10.035211563110352,659498464.0,34257440.0,141721,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,002769,交通运输,-10.027100563049316,10676456.0,48031602.0,092500,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,600706,社会服务,-9.989372253417969,316875728.0,53566821.0,100339,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,002161,电子,-9.950248718261719,794546816.0,54761332.0,132209,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,000523,综合,-9.975062370300293,1105937040.0,55324997.0,134651,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,600108,农林牧渔,-9.936574935913086,1797002432.0,63887871.0,140038,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,600712,商贸零售,-10.0,502617200.0,81381458.0,112823,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,002295,有色金属,-10.009016990661621,62863022.0,105361345.0,092500,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,600354,农林牧渔,-10.027347564697266,987090000.0,110165485.0,134308,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,600359,农林牧渔,-9.979423522949219,210366100.0,241900645.0,093423,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-14,605577,传媒,-10.016068458557129,34552560.0,357435170.0,092502,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.015424+00:00
2026-09-15,603344,电力设备,-9.992100715637207,245623061.0,3559798.0,150000,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,600698,汽车,-10.0,453145376.0,5227721.0,144448,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,603983,美容护理,-9.984102249145508,252913895.0,6024368.0,150000,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,003002,基础化工,-10.0,278484880.0,7842015.0,143803,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,000428,社会服务,-10.043667793273926,383983728.0,8229700.0,133727,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,003013,建筑装饰,-10.005104064941406,193245830.0,12958173.0,132545,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,600280,商贸零售,-9.84615421295166,324530272.0,14557523.0,130655,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,002059,社会服务,-9.980430603027344,584500224.0,18978680.0,140245,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,605188,商贸零售,-10.022438049316406,229148356.0,22092613.0,105607,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,000713,农林牧渔,-9.98593521118164,228266809.0,36282105.0,095112,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,000523,综合,-9.972298622131348,815487328.0,36844736.0,133551,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,603261,国防军工,-10.00646686553955,148607874.0,39297453.0,095218,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,002870,汽车,-10.0,213888878.0,56634210.0,093136,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,002790,轻工制造,-10.023866653442383,359637568.0,58499014.0,100006,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,605577,传媒,-10.0,740718928.0,69934656.0,110126,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,600929,基础化工,-9.921259880065918,185925669.0,80256599.0,093436,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,600865,商贸零售,-10.01602554321289,408077584.0,94352214.0,095920,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,600712,商贸零售,-9.950248718261719,192632106.0,97083225.0,094708,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,603136,社会服务,-9.99074935913086,106392342.0,108515761.0,093046,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,002161,电子,-9.944750785827637,157142482.0,117328254.0,093048,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,600354,农林牧渔,-10.030394554138184,843773328.0,137587590.0,101746,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,600359,农林牧渔,-9.942856788635254,225434970.0,202043783.0,093628,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,000759,商贸零售,-10.0,588044208.0,230252672.0,094636,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,000978,社会服务,-10.036831855773926,716839872.0,266871712.0,093821,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,601086,商贸零售,-10.005558013916016,875963584.0,330887706.0,094640,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
